stage_id,start_state_family,transition_entry_class,transition_exit_class,primitive_id,primitive_family,entry_role,regime_label,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,entry_role_rejection_count,total_rows,rejection_rate,active_primitive_family,launch_gate_rows_exist,non_rejected_launch_gate_rows,expected_launch_gate_rows_per_active_primitive,expected_full_dense_launch_gate_rows_present,credible_launch_gate_outcome,r5_launch_entry_gate_passed
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,mild_turn_left,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,63,281,0,0,0,344,0,0,0,344,0.0,True,False,344,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,mild_turn_right,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,66,280,0,0,0,346,0,0,0,346,0.0,True,False,346,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,recovery,recovery,transition_object,boundary_or_recovery_entry_evidence_for_8_families,65,282,0,0,0,347,0,0,0,347,0.0,True,False,347,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,safe_exit_or_recovery_handoff,safe_exit,transition_object,boundary_or_recovery_entry_evidence_for_8_families,63,282,0,0,0,345,0,0,0,345,0.0,True,False,345,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,energy_retaining_bank,energy_retaining_bank,transition_object,boundary_or_recovery_entry_evidence_for_8_families,32,151,0,0,0,183,0,0,0,183,0.0,True,False,183,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,glide,glide,transition_object,boundary_or_recovery_entry_evidence_for_8_families,39,148,0,0,0,187,0,0,0,187,0.0,True,False,187,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,lift_dwell_arc,lift_dwell,transition_object,boundary_or_recovery_entry_evidence_for_8_families,31,152,0,0,0,183,0,0,0,183,0.0,True,False,183,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,lift_entry,lift_entry,transition_object,boundary_or_recovery_entry_evidence_for_8_families,38,147,0,0,0,185,0,0,0,185,0.0,True,False,185,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,mild_turn_left,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,35,146,0,0,0,181,0,0,0,181,0.0,True,False,181,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,mild_turn_right,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,27,143,0,0,0,170,0,0,0,170,0.0,True,False,170,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,recovery,recovery,transition_object,boundary_or_recovery_entry_evidence_for_8_families,36,146,0,0,0,182,0,0,0,182,0.0,True,False,182,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,safe_exit_or_recovery_handoff,safe_exit,transition_object,boundary_or_recovery_entry_evidence_for_8_families,37,147,0,0,0,184,0,0,0,184,0.0,True,False,184,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,energy_retaining_bank,energy_retaining_bank,transition_object,boundary_or_recovery_entry_evidence_for_8_families,115,634,0,0,0,749,0,0,0,749,0.0,True,False,749,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,glide,glide,transition_object,boundary_or_recovery_entry_evidence_for_8_families,104,643,0,0,0,747,0,0,0,747,0.0,True,False,747,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,lift_dwell_arc,lift_dwell,transition_object,boundary_or_recovery_entry_evidence_for_8_families,118,634,0,0,0,752,0,0,0,752,0.0,True,False,752,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,lift_entry,lift_entry,transition_object,boundary_or_recovery_entry_evidence_for_8_families,109,637,0,0,0,746,0,0,0,746,0.0,True,False,746,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,mild_turn_left,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,112,643,0,0,0,755,0,0,0,755,0.0,True,False,755,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,mild_turn_right,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,120,644,0,0,0,764,0,0,0,764,0.0,True,False,764,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,recovery,recovery,transition_object,boundary_or_recovery_entry_evidence_for_8_families,109,642,0,0,0,751,0,0,0,751,0.0,True,False,751,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,safe_exit_or_recovery_handoff,safe_exit,transition_object,boundary_or_recovery_entry_evidence_for_8_families,113,638,0,0,0,751,0,0,0,751,0.0,True,False,751,5120,False,True,False
W01,launch_gate,launch_gate,inflight_stable,energy_retaining_bank,energy_retaining_bank,transition_object,launch_entry_evidence_for_8_families,1178,1180,0,0,0,2358,0,0,0,2358,0.0,True,True,2358,5120,True,True,True
W01,launch_gate,launch_gate,inflight_stable,glide,glide,transition_object,launch_entry_evidence_for_8_families,1169,1216,0,0,0,2385,0,0,0,2385,0.0,True,True,2385,5120,True,True,True
W01,launch_gate,launch_gate,inflight_stable,lift_dwell_arc,lift_dwell,transition_object,launch_entry_evidence_for_8_families,1172,1199,0,0,0,2371,0,0,0,2371,0.0,True,True,2371,5120,True,True,True
W01,launch_gate,launch_gate,inflight_stable,lift_entry,lift_entry,transition_object,launch_entry_evidence_for_8_families,1161,1208,0,0,0,2369,0,0,0,2369,0.0,True,True,2369,5120,True,True,True
W01,launch_gate,launch_gate,inflight_stable,mild_turn_left,mild_turn,transition_object,launch_entry_evidence_for_8_families,1189,1188,0,0,0,2377,0,0,0,2377,0.0,True,True,2377,5120,True,True,True
W01,launch_gate,launch_gate,inflight_stable,mild_turn_right,mild_turn,transition_object,launch_entry_evidence_for_8_families,1200,1207,0,0,0,2407,0,0,0,2407,0.0,True,True,2407,5120,True,True,True
W01,launch_gate,launch_gate,inflight_stable,recovery,recovery,transition_object,launch_entry_evidence_for_8_families,1163,1197,0,0,0,2360,0,0,0,2360,0.0,True,True,2360,5120,True,True,True
W01,launch_gate,launch_gate,inflight_stable,safe_exit_or_recovery_handoff,safe_exit,transition_object,launch_entry_evidence_for_8_families,1193,1206,0,0,0,2399,0,0,0,2399,0.0,True,True,2399,5120,True,True,True
W01,launch_gate,launch_gate,post_launch_degraded,energy_retaining_bank,energy_retaining_bank,transition_object,launch_entry_evidence_for_8_families,1370,1392,0,0,0,2762,0,0,0,2762,0.0,True,True,2762,5120,True,True,True
W01,launch_gate,launch_gate,post_launch_degraded,glide,glide,transition_object,launch_entry_evidence_for_8_families,1379,1356,0,0,0,2735,0,0,0,2735,0.0,True,True,2735,5120,True,True,True
W01,launch_gate,launch_gate,post_launch_degraded,lift_dwell_arc,lift_dwell,transition_object,launch_entry_evidence_for_8_families,1373,1376,0,0,0,2749,0,0,0,2749,0.0,True,True,2749,5120,True,True,True
W01,launch_gate,launch_gate,post_launch_degraded,lift_entry,lift_entry,transition_object,launch_entry_evidence_for_8_families,1382,1369,0,0,0,2751,0,0,0,2751,0.0,True,True,2751,5120,True,True,True
W01,launch_gate,launch_gate,post_launch_degraded,mild_turn_left,mild_turn,transition_object,launch_entry_evidence_for_8_families,1356,1387,0,0,0,2743,0,0,0,2743,0.0,True,True,2743,5120,True,True,True
W01,launch_gate,launch_gate,post_launch_degraded,mild_turn_right,mild_turn,transition_object,launch_entry_evidence_for_8_families,1344,1369,0,0,0,2713,0,0,0,2713,0.0,True,True,2713,5120,True,True,True
W01,launch_gate,launch_gate,post_launch_degraded,recovery,recovery,transition_object,launch_entry_evidence_for_8_families,1383,1377,0,0,0,2760,0,0,0,2760,0.0,True,True,2760,5120,True,True,True
