case_id,alpha_deg,speed_m_s,delta_e_deg,surface_name,surface_code,fx_b_n,fy_b_n,fz_b_n,mx_b_nm,my_b_nm,mz_b_nm,cx_body,cy_body,cz_body,cl_roll,cm_pitch,cn_yaw,cl_lift,cd_drag,valid_local,local_status
longitudinal_000059,0.0,4.5,0.0,wing,0,-0.028146206730677626,1.3552527156068805e-20,0.00683685396759818,5.421010862427522e-20,-0.0006365286627897435,-2.168404344971009e-19,-0.018001614195355987,8.66785949417924e-21,0.004372681854160752,4.5381463320310163e-20,-0.002467320669955276,-1.8152585328124065e-19,-0.004372681854160752,0.018001614195355987,True,ok
longitudinal_000059,0.0,4.5,0.0,horizontal_tail,1,-0.008216822250000004,0.0,0.0,0.0,-0.00012276033934564593,0.0,-0.005255275265746471,0.0,0.0,0.0,-0.0004758452217858502,0.0,0.0,0.005255275265746471,True,ok
longitudinal_000059,0.0,4.5,0.0,vertical_tail,2,-0.0017416468125000001,0.0,0.0,0.0,9.676568177666784e-05,0.0,-0.0011139140092019672,0.0,0.0,0.0,0.0003750843924977359,0.0,0.0,0.0011139140092019672,True,ok
longitudinal_000060,2.0,4.5,0.0,total,-1,-0.03169973819535097,4.336808689942018e-19,-0.29217073564013635,4.336808689942018e-18,0.023833642016278925,-5.421010862427522e-20,-0.020274364590114696,2.773715038137357e-19,-0.18686514003446514,3.630517065624813e-18,0.09238427273541949,-4.5381463320310163e-20,0.18604374171992522,0.026783513333446595,True,ok
longitudinal_000060,2.0,4.5,0.0,wing,0,-0.02294790425133474,4.336808689942018e-19,-0.23185750205282843,4.336808689942018e-18,0.03919147689449021,0.0,-0.014676909143648288,2.773715038137357e-19,-0.14829029503662325,3.630517065624813e-18,0.15191451175827303,0.0,0.14768774385329494,0.01984322502979832,True,ok
longitudinal_000060,2.0,4.5,0.0,horizontal_tail,1,-0.007012308413566412,0.0,-0.06031323358730785,0.0,-0.015454482701819275,-5.421010862427522e-20,-0.00448489815653508,0.0,-0.03857484499784185,0.0,-0.059904866571987105,-4.5381463320310163e-20,0.03839482555610154,0.005828408753557679,True,ok
longitudinal_000060,2.0,4.5,0.0,vertical_tail,2,-0.001739525530449806,0.0,0.0,0.0,9.664782360797691e-05,0.0,-0.0011125572899313202,0.0,0.0,0.0,0.0003746275491335114,0.0,-3.882768947130152e-05,0.001111879550090586,True,ok
longitudinal_000061,4.0,4.5,0.0,total,-1,-0.012436258336098141,-8.673617379884035e-19,-0.5898204054701756,-2.168404344971009e-18,0.0480571179808509,1.6263032587282567e-19,-0.00795392170399328,-5.547430076274714e-19,-0.3772344701870564,-1.8152585328124064e-18,0.18627962488438526,1.3614438996093048e-19,0.37576070844691145,0.034249092765467476,True,ok
longitudinal_000061,4.0,4.5,0.0,wing,0,-0.007290179046017858,-8.673617379884035e-19,-0.4694482603158339,-1.734723475976807e-18,0.07864652335552383,1.6263032587282567e-19,-0.0046626173060273805,-5.547430076274714e-19,-0.3002474382338637,-1.4522068262499252e-18,0.3048506752936295,1.3614438996093048e-19,0.2991908028230227,0.025595461946513617,True,ok
longitudinal_000061,4.0,4.5,0.0,horizontal_tail,1,-0.003412907271108142,0.0,-0.1203721451543418,-4.336808689942018e-19,-0.030685700197967982,0.0,-0.002182810656046612,0.0,-0.07698703195319287,-3.630517065624813e-19,-0.11894430965398006,0.0,0.07664723023849267,0.0075478373120771965,True,ok
longitudinal_000061,4.0,4.5,0.0,vertical_tail,2,-0.0017331720189721431,0.0,0.0,0.0,9.6294823295055e-05,0.0,-0.0011084937419192894,0.0,0.0,0.0,0.00037325924473578684,0.0,-7.73246146037201e-05,0.0011057935068766746,True,ok
longitudinal_000062,6.0,4.5,0.0,total,-1,0.019080050746650246,-1.734723475976807e-18,-0.8814038146242629,8.673617379884035e-19,0.07162511794705212,4.336808689942018e-19,0.012203126185193855,-1.1094860152549427e-18,-0.563723970800205,7.261034131249626e-19,0.2776342124551282,3.630517065624813e-19,0.5619114059319485,0.046788924191767785,True,ok
longitudinal_000062,6.0,4.5,0.0,wing,0,0.018336176386395026,-1.734723475976807e-18,-0.7021697202967623,0.0,0.11710763686373918,4.336808689942018e-19,0.011727362634841742,-1.1094860152549427e-18,-0.44909029928591815,0.0,0.45393414300804663,3.630517065624813e-19,0.44785597883173894,0.03527959993749372,True,ok
longitudinal_000062,6.0,4.5,0.0,horizontal_tail,1,0.0024664915919915004,0.0,-0.17923409432750087,8.673617379884035e-19,-0.04557822731730696,0.0,0.0015775067127154375,0.0,-0.11463367151428702,7.261034131249626e-19,-0.17667091669846433,0.0,0.11417059061988731,0.010413616556231473,True,ok
longitudinal_000062,6.0,4.5,0.0,vertical_tail,2,-0.0017226172317362774,0.0,0.0,0.0,9.570840061994318e-05,0.0,-0.0011017431623633227,0.0,0.0,0.0,0.00037098614554604653,0.0,-0.00011516351967748294,0.001095707698042607,True,ok
longitudinal_000063,8.0,4.5,0.0,total,-1,0.059382447535151095,5.204170427930421e-18,-1.1473762387033315,-2.6020852139652106e-18,0.09299011902181027,-2.656295322589486e-18,0.037979537375408955,3.3284580457648284e-18,-0.7338333219710131,-2.1783102393748877e-18,0.3604495071102566,-2.223691702695198e-18,0.7319774365160104,0.06451993587808749,True,ok
longitudinal_000063,8.0,4.5,0.0,wing,0,0.05113181191148308,5.204170427930421e-18,-0.9144626491558331,-3.469446951953614e-18,0.15202295420868606,-2.6020852139652106e-18,0.032702635916362646,3.3284580457648284e-18,-0.5848675796239405,-2.9044136524998504e-18,0.5892733495815161,-2.1783102393748877e-18,0.5837270157938044,0.049013458595616635,True,ok
longitudinal_000063,8.0,4.5,0.0,horizontal_tail,1,0.009958548214272679,0.0,-0.2329135895474979,8.673617379884035e-19,-0.059127726599450744,-5.421010862427522e-20,0.006369239898454768,0.0,-0.14896574234707233,7.261034131249626e-19,-0.22919166179713457,-4.5381463320310163e-20,0.14840244485011617,0.014424769405665634,True,ok
longitudinal_000063,8.0,4.5,0.0,vertical_tail,2,-0.0017079125906046592,0.0,0.0,0.0,9.489141257496764e-05,0.0,-0.0010923384394084515,0.0,0.0,0.0,0.00036781932587505185,0.0,-0.00015202412791035273,0.001081707876805188,True,ok
longitudinal_000064,10.0,4.5,0.0,total,-1,0.09370591743975654,-1.734723475976807e-18,-1.3229565826525962,1.6479873021779667e-17,0.10703194054975196,8.131516293641283e-19,0.05993197554872667,-1.1094860152549427e-18,-0.8461301455645658,1.379596484937429e-17,0.41487859809238187,6.807219498046524e-19,0.8436826057473481,0.08790748367261722,True,ok
longitudinal_000064,10.0,4.5,0.0,wing,0,0.07916165695070271,-1.734723475976807e-18,-1.054685897809849,1.3877787807814457e-17,0.17497045314771204,8.673617379884035e-19,0.050629828066261866,-1.1094860152549427e-18,-0.6745508839371215,1.1617654609999402e-17,0.67822274301164,7.261034131249626e-19,0.6730947176818117,0.06727388452596841,True,ok
longitudinal_000064,10.0,4.5,0.0,horizontal_tail,1,0.016233390224164614,0.0,-0.26827068484274674,2.6020852139652106e-18,-0.06803236043740386,-5.421010862427522e-20,0.010382472874384355,0.0,-0.171579261627444,2.1783102393748877e-18,-0.2637079191334082,-4.5381463320310163e-20,0.17077548460113007,0.01956968632491046,True,ok
longitudinal_000064,10.0,4.5,0.0,vertical_tail,2,-0.001689129735110774,0.0,0.0,0.0,9.384783944376001e-05,0.0,-0.0010803253919195509,0.0,0.0,0.0,0.00036377421414991176,0.0,-0.0001875965355941423,0.0010639128217383258,True,ok
longitudinal_000065,12.0,4.5,0.0,total,-1,0.09021676499071318,1.734723475976807e-18,-1.3105089448388918,-6.938893903907228e-18,0.10577818003495898,-9.75781955236954e-19,0.05770040037209725,1.1094860152549427e-18,-0.8381689458295549,-5.808827304999701e-18,0.41001875530106946,-8.1686633976558295e-19,0.8318495311749866,0.1178256145330148,True,ok
longitudinal_000065,12.0,4.5,0.0,wing,0,0.07649192651667741,1.734723475976807e-18,-1.044120584832635,-6.938893903907228e-18,0.17325148848224856,-8.673617379884035e-19,0.048922334842084636,1.1094860152549427e-18,-0.6677935723786266,-5.808827304999701e-18,0.6715596698494158,-7.261034131249626e-19,0.6633722059633809,0.09098882630239104,True,ok
longitudinal_000065,12.0,4.5,0.0,horizontal_tail,1,0.015391198647474302,0.0,-0.2663883600062569,0.0,-0.0675658912126993,-1.0842021724855044e-19,0.009843828076269047,0.0,-0.1703753734509284,0.0,-0.2618997850660948,-9.076292664062033e-20,0.16869890970460819,0.025794315153051063,True,ok
longitudinal_000065,12.0,4.5,0.0,vertical_tail,2,-0.001666360173438545,0.0,0.0,0.0,9.258276540971608e-05,0.0,-0.0010657625462564414,0.0,0.0,0.0,0.0003588705177483385,0.0,-0.00022158449300241717,0.0010424730775726897,True,ok
longitudinal_000066,-8.0,5.5,0.0,total,-1,0.08882316211176848,0.0,1.730241245057295,-6.938893903907228e-18,-0.14365604007838514,-1.0842021724855044e-19,0.03802922326884034,0.0,0.7407947325095527,-3.888553815743601e-18,-0.3727616039434447,-6.075865337099376e-20,-0.7388780140255901,0.06543957461606015,True,ok
longitudinal_000066,-8.0,5.5,0.0,wing,0,0.07649813852579528,0.0,1.3823085989431318,-6.938893903907228e-18,-0.23256890438738376,-1.0842021724855044e-19,0.03275232180979403,0.0,0.5918289901624806,-3.888553815743601e-18,-0.6034745060458813,-6.075865337099376e-20,-0.5906275933033844,0.04993309733358933,True,ok
longitudinal_000066,-8.0,5.5,0.0,horizontal_tail,1,0.014876349801567827,0.0,0.3479326461141636,0.0,0.08877111293959641,0.0,0.006369239898454767,0.0,0.14896574234707236,0.0,0.23034508277656132,0.0,-0.1484024448501162,0.014424769405665637,True,ok
longitudinal_000066,-8.0,5.5,0.0,vertical_tail,2,-0.002551326215594614,0.0,0.0,0.0,0.0001417513694021121,0.0,-0.0010923384394084512,0.0,0.0,0.0,0.00036781932587505174,0.0,0.0001520241279103527,0.0010817078768051878,True,ok
longitudinal_000067,-6.0,5.5,0.0,total,-1,0.028960983440797783,-5.204170427930421e-18,1.3361729332361894,0.0,-0.11085714843432606,5.285485590866834e-19,0.01239951020849058,-2.2281413364210834e-18,0.5720762197126045,0.0,-0.2876543752453992,2.9619843518359465e-19,-0.5702384280710612,0.04746666372434073,True,ok
longitudinal_000067,-6.0,5.5,0.0,wing,0,0.027849763717453558,-5.204170427930421e-18,1.0684281750432565,0.0,-0.17919620826910784,5.421010862427522e-19,0.011923746658138463,-2.2281413364210834e-18,0.4574425481983176,0.0,-0.46498195257594827,3.0379326685496883e-19,-0.45618300097085157,0.03595733947006666,True,ok
longitudinal_000067,-6.0,5.5,0.0,horizontal_tail,1,0.003684512131246563,0.0,0.26774475819293336,0.0,0.06819608802644828,-1.3552527156068805e-20,0.0015775067127154379,0.0,0.11463367151428702,0.0,0.17695659118500298,-7.59483167137422e-21,-0.11417059061988731,0.010413616556231473,True,ok
longitudinal_000067,-6.0,5.5,0.0,vertical_tail,2,-0.00257329240790234,0.0,0.0,0.0,0.00014297180833349536,0.0,-0.0011017431623633225,0.0,0.0,0.0,0.00037098614554604653,0.0,0.00011516351967748291,0.0010957076980426068,True,ok
longitudinal_000068,-4.0,5.5,0.0,total,-1,-0.018214133587433234,0.0,0.901349038290899,-4.7704895589362195e-18,-0.07465630034872629,4.336808689942018e-19,-0.007798296484574357,0.0,0.38590839377218666,-2.6733807483237258e-18,-0.19371968103318188,2.4303461348397506e-19,-0.3844243586566705,0.034698908964086055,True,ok
longitudinal_000068,-4.0,5.5,0.0,wing,0,-0.010526780573856503,0.0,0.7215338584924379,-3.469446951953614e-18,-0.12048694229410083,4.336808689942018e-19,-0.004506992086608452,0.0,0.3089213618189938,-1.9442769078718005e-18,-0.31264195949772666,2.4303461348397506e-19,-0.30785445303278164,0.02604527814513218,True,ok
longitudinal_000068,-4.0,5.5,0.0,horizontal_tail,1,-0.0050982935778282135,0.0,0.17981517979846126,-1.3010426069826053e-18,0.04568679412292138,0.0,-0.0021828106560466127,0.0,0.0769870319531929,-7.291038404519252e-19,0.11854901921980887,0.0,-0.0766472302384927,0.007547837312077199,True,ok
longitudinal_000068,-4.0,5.5,0.0,vertical_tail,2,-0.0025890594357485105,0.0,0.0,0.0,0.00014384782245310687,0.0,-0.0011084937419192896,0.0,0.0,0.0,0.0003732592447357869,0.0,7.732461460372011e-05,0.0011057935068766748,True,ok
longitudinal_000069,-2.0,5.5,0.0,total,-1,-0.04716655929651236,8.673617379884035e-19,0.4568554988005364,-4.7704895589362195e-18,-0.03780852871244976,2.710505431213761e-20,-0.020194142740077154,3.713568894035139e-19,0.1956005545447824,-2.6733807483237258e-18,-0.09810633648195004,1.518966334274844e-20,-0.19477663455393665,0.02700820192229037,True,ok
longitudinal_000069,-2.0,5.5,0.0,wing,0,-0.03409283204680912,8.673617379884035e-19,0.36675795233060743,-5.204170427930421e-18,-0.06072622899819219,0.0,-0.014596687293610754,3.713568894035139e-19,0.15702570954694056,-2.916415361807701e-18,-0.15757364960395406,0.0,-0.1564206366873064,0.020067913618642106,True,ok
longitudinal_000069,-2.0,5.5,0.0,horizontal_tail,1,-0.010475176765944892,0.0,0.09009754646992905,4.336808689942018e-19,0.02277332514183422,2.710505431213761e-20,-0.004484898156535082,0.0,0.03857484499784187,2.4303461348397506e-19,0.059092685572870514,1.518966334274844e-20,-0.03839482555610156,0.005828408753557682,True,ok
longitudinal_000069,-2.0,5.5,0.0,vertical_tail,2,-0.002598550483758353,0.0,0.0,0.0,0.00014437514390821247,0.0,-0.0011125572899313206,0.0,0.0,0.0,0.0003746275491335115,0.0,3.882768947130154e-05,0.0011118795500905864,True,ok
longitudinal_000070,0.0,5.5,0.0,total,-1,-0.05692179964166039,2.710505431213761e-20,0.010213078149128148,1.6263032587282567e-19,-0.000989695330412412,5.963111948670274e-19,-0.024370803470304417,1.160490279385981e-20,0.004372681854160754,9.113798005649065e-20,-0.002568081499243392,3.341725935404657e-19,-0.004372681854160754,0.024370803470304417,True,ok
longitudinal_000070,0.0,5.5,0.0,wing,0,-0.042045568079160406,2.710505431213761e-20,0.010213078149128148,1.6263032587282567e-19,-0.0009508638049081358,6.505213034913027e-19,-0.018001614195355987,1.160490279385981e-20,0.004372681854160754,9.113798005649065e-20,-0.0024673206699552773,3.645519202259626e-19,-0.004372681854160754,0.018001614195355987,True,ok
longitudinal_000070,0.0,5.5,0.0,horizontal_tail,1,-0.012274512250000005,0.0,0.0,0.0,-0.00018338272914596488,-5.421010862427522e-20,-0.005255275265746471,0.0,0.0,0.0,-0.0004758452217858501,-3.037932668549688e-20,0.0,0.005255275265746471,True,ok
longitudinal_000070,0.0,5.5,0.0,vertical_tail,2,-0.0026017193125000004,0.0,0.0,0.0,0.000144551203641689,0.0,-0.0011139140092019674,0.0,0.0,0.0,0.0003750843924977359,0.0,0.0,0.0011139140092019674,True,ok
longitudinal_000071,2.0,5.5,0.0,total,-1,-0.047353929896758844,0.0,-0.4364525804006974,4.7704895589362195e-18,0.03560334177740426,1.3552527156068805e-19,-0.020274364590114693,0.0,-0.1868651400344651,2.6733807483237258e-18,0.09238427273541935,7.594831671374221e-20,0.1860437417199252,0.02678351333344659,True,ok
longitudinal_000071,2.0,5.5,0.0,wing,0,-0.034280202647055606,0.0,-0.34635503393076844,5.204170427930421e-18,0.05854529264485574,1.0842021724855044e-19,-0.014676909143648293,0.0,-0.14829029503662328,2.916415361807701e-18,0.151914511758273,6.075865337099376e-20,0.14768774385329497,0.019843225029798326,True,ok
