chunk_index,status,row_start,row_stop,row_count,partition_path,manifest_path,byte_count,checksum_sha256,duration_s
45,complete,36000,36800,800,w01_primitive_rows/c00045.csv.gz,chunk_manifests/w01_primitive_rows/c00045.json,2126672,88375956f6ba551d490fc3b65e3fc93c78b2bbbaaf77842b50321321e8f528a9,96.80885720252991
46,complete,36800,37600,800,w01_primitive_rows/c00046.csv.gz,chunk_manifests/w01_primitive_rows/c00046.json,2000769,8540fe67972159bf7367472774f3dec2969061304efc811681ee041bcdceb8e3,99.00550150871277
47,complete,37600,38400,800,w01_primitive_rows/c00047.csv.gz,chunk_manifests/w01_primitive_rows/c00047.json,2134023,e54e1d13a13654b60395e5918c68337252f52da8dd88d73dddd4662c71abaf77,101.65224862098694
48,complete,38400,39200,800,w01_primitive_rows/c00048.csv.gz,chunk_manifests/w01_primitive_rows/c00048.json,2051314,dd8e86ad6cec470e0b27bb27a440babd0c459846817c51e565b3db4029f1596e,102.47199702262878
49,complete,39200,40000,800,w01_primitive_rows/c00049.csv.gz,chunk_manifests/w01_primitive_rows/c00049.json,2072664,be71f782d9649af310432f14a35ff91b979826ac6fe6aa9e56ba777d51df96b6,109.68620133399963
50,complete,40000,40800,800,w01_primitive_rows/c00050.csv.gz,chunk_manifests/w01_primitive_rows/c00050.json,2118246,806033cb68d537b08969e488a8b46e812cf23d94bbeb6b4de9a06da159952a5b,107.91748595237732
51,complete,40800,41600,800,w01_primitive_rows/c00051.csv.gz,chunk_manifests/w01_primitive_rows/c00051.json,1989442,8dedd0991fc24f0a29dc800da8a5ac1236fb4fbd2c96a7d29425bebef6177cbf,87.80282878875732
52,complete,41600,42400,800,w01_primitive_rows/c00052.csv.gz,chunk_manifests/w01_primitive_rows/c00052.json,2068849,39fcad796d8e556204301b0320a38e4a382fafe45ef871e0606b6360faadbaa7,78.2393069267273
53,complete,42400,43200,800,w01_primitive_rows/c00053.csv.gz,chunk_manifests/w01_primitive_rows/c00053.json,2048806,d041f55cdff2c933d44aa052f4a39d58648ebd59660740ba35217776c90d9cf5,82.53905987739563
54,complete,43200,44000,800,w01_primitive_rows/c00054.csv.gz,chunk_manifests/w01_primitive_rows/c00054.json,2047147,dd359fb034c55cd1b9cf29cf1cf7e03e173fa7ad83cac3c480ef7064eec6675f,86.72054481506348
