primitive_variant_id,primitive_id,environment_mode,compatible_row_count,positive_continuation_count,transition_chain_compatible_count,episode_terminal_useful_count,hard_failure_count,minimum_wall_margin_min_m,energy_residual_mean_m,lift_dwell_mean_s
primvar_energy_retaining_bank_transition_object_4e7b7696b0b2,energy_retaining_bank,w3_randomised_four,100,61,61,55,0,-0.0723577250311446,-0.029326697310122565,0.0444
primvar_energy_retaining_bank_transition_object_4e7b7696b0b2,energy_retaining_bank,w3_randomised_single,40,28,28,22,0,-0.0721150038239155,-0.03474037955305189,0.006500000000000001
primvar_energy_retaining_bank_transition_object_4fb972c858dd,energy_retaining_bank,dry_air,20,14,14,11,0,-0.0719971348964048,-0.034913030106116676,0.0
primvar_energy_retaining_bank_transition_object_4fb972c858dd,energy_retaining_bank,w3_randomised_four,100,64,64,55,0,-0.0723172086275916,-0.029038461482689706,0.0472
primvar_energy_retaining_bank_transition_object_4fb972c858dd,energy_retaining_bank,w3_randomised_single,40,28,28,22,0,-0.0720840560132227,-0.034715066291838036,0.006500000000000001
primvar_energy_retaining_bank_transition_object_55124b0056a0,energy_retaining_bank,dry_air,80,63,63,11,0,-0.0721080347551952,-0.019658012529268982,0.0
primvar_energy_retaining_bank_transition_object_55124b0056a0,energy_retaining_bank,w3_randomised_four,400,265,265,55,0,-0.0723181245221074,-0.007918554789110067,0.05135000000000001
primvar_energy_retaining_bank_transition_object_55124b0056a0,energy_retaining_bank,w3_randomised_single,160,109,109,22,0,-0.0720698515676865,-0.012907946431234532,0.028625
primvar_energy_retaining_bank_transition_object_576a57ba4e7d,energy_retaining_bank,dry_air,20,14,14,11,0,-0.0720710279426839,-0.035068131981552016,0.0
primvar_energy_retaining_bank_transition_object_576a57ba4e7d,energy_retaining_bank,w3_randomised_four,100,62,62,55,0,-0.0723111777060099,-0.028930305690374733,0.0438
primvar_energy_retaining_bank_transition_object_576a57ba4e7d,energy_retaining_bank,w3_randomised_single,40,28,28,22,0,-0.0721574743577102,-0.03460585196040017,0.006500000000000001
primvar_energy_retaining_bank_transition_object_58026214ca81,energy_retaining_bank,dry_air,40,39,39,0,0,0.0042965023720533,-0.020246272651170023,0.0
primvar_energy_retaining_bank_transition_object_58026214ca81,energy_retaining_bank,w3_randomised_four,200,174,174,0,0,0.0042965023720533,-0.005520973935150331,0.044700000000000004
primvar_energy_retaining_bank_transition_object_58026214ca81,energy_retaining_bank,w3_randomised_single,80,68,68,0,0,0.0042965023720533,-0.009365645021193216,0.03125
