combo_idx,combo_names,fan_robust_loss,fan_robust_f_scale,overall_wrmse,overall_sae,overall_n,F01_wrmse,F01_sae,F01_n,F02_wrmse,F02_sae,F02_n,F03_wrmse,F03_sae,F03_n,F04_wrmse,F04_sae,F04_n
"2,1,2,2","cauchy,huber,cauchy,cauchy","cauchy,huber,cauchy,cauchy","0.500,1.000,0.500,0.500",0.6821823966994461,533.8152044362282,1365,0.3660533377462426,133.72791203594574,357,0.8184919957572916,108.71149052649588,315,0.835224315465601,154.30777063750364,371,0.4772222262379948,137.06803123628296,322
"0,0,2,2","baseline,baseline,cauchy,cauchy","soft_l1,soft_l1,cauchy,cauchy","1.000,1.000,0.500,0.500",0.6836641121783177,532.6452133505984,1365,0.3396632122916109,129.60330927892366,357,0.8192100412652615,109.60796749931858,315,0.84358659062616,152.98260327026526,371,0.4889980482462812,140.45133330209097,322
"0,1,2,2","baseline,huber,cauchy,cauchy","soft_l1,huber,cauchy,cauchy","1.000,1.000,0.500,0.500",0.6843884878000088,532.8142217327204,1365,0.3399325517244419,129.79338679665307,357,0.8203551459805075,109.21881692349307,315,0.8438938440399971,152.96250823818417,371,0.49009448544466244,140.8395097743901,322
"1,1,2,2","huber,huber,cauchy,cauchy","huber,huber,cauchy,cauchy","1.000,1.000,0.500,0.500",0.6848157714370379,532.5837571796736,1365,0.34229200540132027,129.21041094608458,357,0.8202092746970515,109.53064327147727,315,0.8447642017852482,153.1624086805644,371,0.4897530625410723,140.6802942815474,322
"1,0,2,2","huber,baseline,cauchy,cauchy","huber,soft_l1,cauchy,cauchy","1.000,1.000,0.500,0.500",0.6858899622566436,528.7714542144877,1365,0.34157788543170575,128.76711675301718,357,0.8191307958014572,111.02321024154146,315,0.8559887706103806,153.08332519503375,371,0.47650912674819823,135.89780202489533,322
"2,2,2,2","cauchy,cauchy,cauchy,cauchy","cauchy,cauchy,cauchy,cauchy","0.500,0.500,0.500,0.500",0.7372755055680337,543.0801680245746,1365,0.49581943338246376,146.95338554772025,357,0.9192252149725099,114.14488635352274,315,0.7666945772177645,147.02502364528056,371,0.589287788167358,134.9568724780511,322
"0,2,2,2","baseline,cauchy,cauchy,cauchy","soft_l1,cauchy,cauchy,cauchy","1.000,0.500,0.500,0.500",0.7525469395398348,534.1606189546367,1365,0.3378147787659472,128.89646313440753,357,0.9317463766391957,118.12293515185834,315,0.8667727535659968,151.46248393802392,371,0.6062207099921421,135.67873673034694,322
"1,2,2,2","huber,cauchy,cauchy,cauchy","huber,cauchy,cauchy,cauchy","1.000,0.500,0.500,0.500",0.7529765233682104,535.6941125069222,1365,0.3390618448516574,127.69041472404129,357,0.931817096581896,118.95656436768456,315,0.8663964239987673,151.8290909468347,371,0.6085379660074954,137.21804246836163,322
"2,2,2,1","cauchy,cauchy,cauchy,huber","cauchy,cauchy,cauchy,huber","0.500,0.500,0.500,1.000",0.7638497452406396,545.8406537658677,1365,0.4921781777043606,146.4828196343223,357,1.048442014790712,131.77007620994758,315,0.7627867271435089,147.3343495687288,371,0.3962000926142566,120.25340835286897,322
"2,2,0,0","cauchy,cauchy,baseline,baseline","cauchy,cauchy,soft_l1,soft_l1","0.500,0.500,1.000,1.000",0.8111936074756537,530.2633403312582,1365,0.37665159352243294,139.32036128581046,357,1.2662261716555223,130.64385023379063,315,0.5709350925875473,138.4093399617013,371,0.39678089967299973,121.8897888499557,322
