stage_id,library_size_case_id,start_state_family,transition_entry_class,transition_exit_class,primitive_id,primitive_family,entry_role,regime_label,launch_gate_entry_primitive_family_count,active_primitive_family_count,launch_gate_candidate_rows,expected_launch_gate_rows_per_active_primitive,expected_full_dense_launch_gate_rows_present,entry_role_rejection_count,rejection_rate,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,credible_launch_gate_outcome,r5_launch_entry_gate_passed,first_decision_audit_mode
W01,not_applicable_w01,inflight_nominal,inflight_stable,inflight_stable,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,43,224,0,0,0,267,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,recoverable_degraded,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,41,108,0,0,0,149,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,recoverable_degraded,glide,glide,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,47,105,0,0,0,152,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,recoverable_degraded,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,45,104,0,0,0,149,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,recoverable_degraded,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,43,99,0,0,0,142,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,recoverable_degraded,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,43,111,0,0,0,154,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,recoverable_degraded,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,46,98,0,0,0,144,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,recoverable_degraded,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,36,107,0,0,0,143,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,recoverable_degraded,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,36,120,0,0,0,156,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,boundary_near,energy_retaining_bank,energy_retaining_bank,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,276,510,0,0,0,786,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,boundary_near,glide,glide,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,281,507,0,0,0,788,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,boundary_near,lift_dwell_arc,lift_dwell,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,282,507,0,0,0,789,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,boundary_near,lift_entry,lift_entry,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,281,504,0,0,0,785,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,boundary_near,mild_turn_left,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,278,508,0,0,0,786,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,boundary_near,mild_turn_right,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,279,509,0,0,0,788,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,boundary_near,recovery,recovery,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,279,506,0,0,0,785,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,boundary_near,safe_exit_or_recovery_handoff,safe_exit,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,279,509,0,0,0,788,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,inflight_stable,energy_retaining_bank,energy_retaining_bank,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,62,139,0,0,0,201,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,inflight_stable,glide,glide,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,65,132,0,0,0,197,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,inflight_stable,lift_dwell_arc,lift_dwell,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,60,132,0,0,0,192,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,inflight_stable,lift_entry,lift_entry,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,66,130,0,0,0,196,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,inflight_stable,mild_turn_left,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,68,127,0,0,0,195,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,inflight_stable,mild_turn_right,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,65,137,0,0,0,202,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,inflight_stable,recovery,recovery,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,60,132,0,0,0,192,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,inflight_stable,safe_exit_or_recovery_handoff,safe_exit,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,69,142,0,0,0,211,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,energy_retaining_bank,energy_retaining_bank,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,133,160,0,0,0,293,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,glide,glide,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,134,161,0,0,0,295,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,lift_dwell_arc,lift_dwell,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,135,164,0,0,0,299,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,lift_entry,lift_entry,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,132,167,0,0,0,299,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,mild_turn_left,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,129,170,0,0,0,299,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,mild_turn_right,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,132,158,0,0,0,290,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,recovery,recovery,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,135,168,0,0,0,303,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recoverable_degraded,recoverable_degraded,safe_exit_or_recovery_handoff,safe_exit,transition_object,boundary_or_recovery_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,127,154,0,0,0,281,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_gate,boundary_near,energy_retaining_bank,energy_retaining_bank,transition_object,launch_entry_evidence_for_8_families,8,8,2207,5120,True,0,0.0,1116,1091,0,0,0,2207,0,0,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_gate,boundary_near,glide,glide,transition_object,launch_entry_evidence_for_8_families,8,8,2207,5120,True,0,0.0,1118,1089,0,0,0,2207,0,0,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_gate,boundary_near,lift_dwell_arc,lift_dwell,transition_object,launch_entry_evidence_for_8_families,8,8,2207,5120,True,0,0.0,1120,1087,0,0,0,2207,0,0,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_gate,boundary_near,lift_entry,lift_entry,transition_object,launch_entry_evidence_for_8_families,8,8,2205,5120,True,0,0.0,1117,1088,0,0,0,2205,0,0,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_gate,boundary_near,mild_turn_left,mild_turn,transition_object,launch_entry_evidence_for_8_families,8,8,2207,5120,True,0,0.0,1114,1093,0,0,0,2207,0,0,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_gate,boundary_near,mild_turn_right,mild_turn,transition_object,launch_entry_evidence_for_8_families,8,8,2207,5120,True,0,0.0,1119,1088,0,0,0,2207,0,0,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_gate,boundary_near,recovery,recovery,transition_object,launch_entry_evidence_for_8_families,8,8,2207,5120,True,0,0.0,1116,1091,0,0,0,2207,0,0,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_gate,boundary_near,safe_exit_or_recovery_handoff,safe_exit,transition_object,launch_entry_evidence_for_8_families,8,8,2207,5120,True,0,0.0,1118,1089,0,0,0,2207,0,0,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_gate,inflight_stable,energy_retaining_bank,energy_retaining_bank,transition_object,launch_entry_evidence_for_8_families,8,8,2912,5120,True,0,0.0,1298,1614,0,0,0,2912,0,0,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_gate,inflight_stable,glide,glide,transition_object,launch_entry_evidence_for_8_families,8,8,2911,5120,True,0,0.0,1299,1612,0,0,0,2911,0,0,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_gate,inflight_stable,lift_dwell_arc,lift_dwell,transition_object,launch_entry_evidence_for_8_families,8,8,2912,5120,True,0,0.0,1299,1613,0,0,0,2912,0,0,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_gate,inflight_stable,lift_entry,lift_entry,transition_object,launch_entry_evidence_for_8_families,8,8,2911,5120,True,0,0.0,1298,1613,0,0,0,2911,0,0,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_gate,inflight_stable,mild_turn_left,mild_turn,transition_object,launch_entry_evidence_for_8_families,8,8,2912,5120,True,0,0.0,1300,1612,0,0,0,2912,0,0,True,True,not_applicable_w01
