split,surface_axis,command_abs,metric,positive_count,negative_count,actual_positive_mean,actual_negative_mean,actual_antisymmetric_response,actual_symmetric_response,sim_positive_mean,sim_negative_mean,sim_antisymmetric_response,sim_symmetric_response,antisymmetric_residual_actual_minus_sim,symmetric_residual_actual_minus_sim
train,elevator,0.2,response_altitude_loss_m,5,5,0.4919706973,0.5102945341,,0.5011326157,0.676727961,0.7586555082,,0.7176917346,,-0.2165591189
train,elevator,0.2,max_abs_alpha_deg,5,5,21.16815985,15.36001982,,18.26408984,20.91502119,15.35612305,,18.13557212,,0.1285177169
train,elevator,0.4,peak_q_rad_s,5,4,-1.618835346,-1.91094981,,-1.764892578,-0.7608621713,-1.790556897,,-1.275709534,,-0.489183044
train,elevator,0.4,q_impulse_rad,5,4,-0.5607980889,-0.7938268507,,-0.6773124698,-0.364790305,-0.7532211711,,-0.559005738,,-0.1183067318
train,elevator,0.4,theta_change_deg,5,4,-7.228227596,-23.40727359,,-15.3177506,3.320574511,-24.61076161,,-10.64509355,,-4.672657046
train,elevator,0.4,response_altitude_loss_m,5,4,0.4321872356,0.6609446654,,0.5465659505,0.5201740645,0.7879343477,,0.6540542061,,-0.1074882556
train,elevator,0.4,max_abs_alpha_deg,5,4,24.06072632,17.06632734,,20.56352683,29.81456825,17.33329074,,23.5739295,,-3.010402664
train,elevator,0.6,peak_q_rad_s,4,5,-1.490631874,-2.459574032,,-1.975102953,-0.5094383063,-2.064298606,,-1.286868456,,-0.6882344964
train,elevator,0.6,q_impulse_rad,4,5,-0.4544138253,-1.011950819,,-0.7331823224,-0.2464790401,-0.7726480912,,-0.5095635657,,-0.2236187567
train,elevator,0.6,theta_change_deg,4,5,-0.2828058165,-28.69857508,,-14.49069045,11.44842152,-14.19730616,,-1.374442322,,-13.11624813
train,elevator,0.6,response_altitude_loss_m,4,5,0.3821714692,0.7282692263,,0.5552203478,0.4995460956,0.6368003464,,0.568173221,,-0.01295287325
train,elevator,0.6,max_abs_alpha_deg,4,5,28.81376435,14.70162986,,21.75769711,36.1342142,18.99417015,,27.56419217,,-5.806495069
train,elevator,0.8,peak_q_rad_s,4,5,-1.491402818,-2.954886371,,-2.223144595,-0.0797868779,-1.840552991,,-0.9601699347,,-1.26297466
train,elevator,0.8,q_impulse_rad,4,5,-0.5303287592,-1.234327561,,-0.8823281603,0.03594901947,-0.7427017501,,-0.3533763653,,-0.528951795
train,elevator,0.8,theta_change_deg,4,5,-0.4378000325,-41.88100949,,-21.15940476,14.79728509,-22.22681103,,-3.714762968,,-17.44464179
train,elevator,0.8,response_altitude_loss_m,4,5,0.4952216835,0.6210986448,,0.5581601642,0.6273508743,0.523267674,,0.5753092741,,-0.01714910995
train,elevator,0.8,max_abs_alpha_deg,4,5,38.95800557,15.24291644,,27.100461,41.54884406,17.83300262,,29.69092334,,-2.590462336
train,elevator,1,peak_q_rad_s,5,5,-1.367230002,-3.110863581,,-2.239046792,-0.1039815341,-2.504726687,,-1.304354111,,-0.9346926808
train,elevator,1,q_impulse_rad,5,5,-0.4131719606,-1.158675464,,-0.7859237124,0.01229847975,-0.9469139969,,-0.4673077586,,-0.3186159538
train,elevator,1,theta_change_deg,5,5,2.450595503,-45.00787729,,-21.27864089,18.93127633,-37.72526675,,-9.396995212,,-11.88164568
train,elevator,1,response_altitude_loss_m,5,5,0.4680322771,0.920372572,,0.6942024245,0.5761770484,0.9129984932,,0.7445877708,,-0.05038534626
train,elevator,1,max_abs_alpha_deg,5,5,40.49947262,15.85782883,,28.17865072,51.16829863,18.57184791,,34.87007327,,-6.691422546
train,rudder,0.2,peak_r_rad_s,5,4,0.1962184954,0.4536070937,,0.3249127946,0.3290299277,-0.1169178036,,0.1060560621,,0.2188567325
train,rudder,0.2,r_impulse_rad,5,4,0.1111260419,0.2000377634,,0.1555819027,0.1451471355,-0.02569449894,,0.05972631826,,0.09585558441
train,rudder,0.2,psi_change_deg,5,4,10.8299124,9.735420727,,10.28266656,14.09813575,2.745475882,,8.421805814,,1.860860751
train,rudder,0.2,roll_coupling_phi_change_deg,5,4,-8.406246886,-21.42080449,,-14.91352569,1.32144323,-0.1831823343,,0.569130448,,-15.48265614
train,rudder,0.2,response_dy_m,5,4,-0.0874848412,-0.1655822009,,-0.126533521,0.06655330412,0.03354334394,,0.05004832403,,-0.1765818451
train,rudder,0.4,peak_r_rad_s,4,5,0.6728528816,-0.02059251271,,0.3261301844,0.6049789874,-0.4934109479,,0.05578401974,,0.2703461647
train,rudder,0.4,r_impulse_rad,4,5,0.2629468774,0.0866394515,,0.1747931645,0.2530460542,-0.1540557692,,0.04949514252,,0.125298022
train,rudder,0.4,psi_change_deg,4,5,13.24896728,1.598023899,,7.423495591,21.34082533,-3.273067405,,9.03387896,,-1.610383369
train,rudder,0.4,roll_coupling_phi_change_deg,4,5,-11.76279318,-22.6890018,,-17.22589749,4.445320757,-2.680258255,,0.8825312511,,-18.10842874
train,rudder,0.4,response_dy_m,4,5,-0.1489844341,-0.1163196365,,-0.1326520353,0.1894782578,0.06017812328,,0.1248281905,,-0.2574802258
train,rudder,0.6,peak_r_rad_s,5,5,0.7395267823,0.117667386,,0.4285970842,0.8518387626,-1.009413651,,-0.07878744433,,0.5073845285
train,rudder,0.6,r_impulse_rad,5,5,0.2976065772,0.06207867249,,0.1798426248,0.3158523832,-0.3521868655,,-0.01816724113,,0.198009866
train,rudder,0.6,psi_change_deg,5,5,12.96771367,-0.8521270588,,6.057793305,24.26583868,-11.28214897,,6.491844854,,-0.4340515487
train,rudder,0.6,roll_coupling_phi_change_deg,5,5,-12.73341184,-20.96662936,,-16.8500206,10.37484381,-3.044448078,,3.665197866,,-20.51521847
train,rudder,0.6,response_dy_m,5,5,-0.1573113634,-0.1662924008,,-0.1618018821,0.2375578419,0.08228071053,,0.1599192762,,-0.3217211583
train,rudder,0.8,peak_r_rad_s,5,5,0.8486512741,-0.4591264253,,0.1947624244,1.027198528,-1.138977202,,-0.05588933698,,0.2506517614
train,rudder,0.8,r_impulse_rad,5,5,0.3528324424,-0.03731679218,,0.1577578251,0.3772072486,-0.3677984021,,0.004704423254,,0.1530534019
train,rudder,0.8,psi_change_deg,5,5,18.97342769,-5.914275856,,6.529575917,25.8477768,-16.47380603,,4.686985388,,1.842590529
train,rudder,0.8,roll_coupling_phi_change_deg,5,5,-11.09213448,-17.13853248,,-14.11533348,5.699966618,-7.009636649,,-0.6548350158,,-13.46049847
train,rudder,0.8,response_dy_m,5,5,-0.1842755543,-0.05928626097,,-0.1217809076,0.1736755256,-0.06291301843,,0.05538125361,,-0.1771621612
train,rudder,1,peak_r_rad_s,5,5,0.8856152733,-0.119645723,,0.3829847751,1.191384312,-1.491217732,,-0.1499167097,,0.5329014848
train,rudder,1,r_impulse_rad,5,5,0.3651506736,0.04834492784,,0.2067478007,0.4423643276,-0.4386401052,,0.001862111194,,0.2048856895
train,rudder,1,psi_change_deg,5,5,15.8410111,-4.356655983,,5.742177558,28.09319467,-20.37796755,,3.85761356,,1.884563998
train,rudder,1,roll_coupling_phi_change_deg,5,5,-5.060677128,-23.21523685,,-14.13795699,7.901374258,-6.326388425,,0.7874929163,,-14.92544991
train,rudder,1,response_dy_m,5,5,-0.06148560931,-0.1019978934,,-0.08174175134,0.1573075249,-0.08471109539,,0.03629821475,,-0.1180399661
heldout,aileron,0.2,peak_p_rad_s,1,1,0.3201031002,0.5972607657,,0.458681933,0.7229800161,0.6678605526,,0.6954202844,,-0.2367383514
heldout,aileron,0.2,p_impulse_rad,1,1,-0.04516695971,0.1531603295,,0.05399668491,0.140210557,0.3254440463,,0.2328273017,,-0.1788306168
heldout,aileron,0.2,phi_change_deg,1,1,-19.44884772,1.648400082,,-8.900223817,1.430944098,13.06490931,,7.247926703,,-16.14815052
heldout,aileron,0.2,yaw_coupling_psi_change_deg,1,1,8.879346356,3.936387644,,6.407867,14.30957793,6.061865963,,10.18572195,,-3.777854945
heldout,aileron,0.2,response_dy_m,1,1,-0.08528288556,0.05077395287,,-0.01725446634,0.1111047603,0.04504337128,,0.07807406579,,-0.09532853213
heldout,aileron,0.4,peak_p_rad_s,1,1,-0.768337031,1.142395569,,0.1870292689,-0.7739742602,0.7891245626,,0.007575151172,,0.1794541178
heldout,aileron,0.4,p_impulse_rad,1,1,-0.2650373979,0.4433114858,,0.08913704399,-0.339425368,0.36840418,,0.01448940599,,0.074647638
heldout,aileron,0.4,phi_change_deg,1,1,-15.38986271,10.43695858,,-2.476452067,-26.49028636,11.74578571,,-7.372250325,,4.895798258
heldout,aileron,0.4,yaw_coupling_psi_change_deg,1,1,12.3231291,-3.041030272,,4.641049414,8.54627727,-5.272023049,,1.63712711,,3.003922304
heldout,aileron,0.4,response_dy_m,1,1,0.1125537275,0.1248564687,,0.1187050981,-0.1800417194,-0.1214843743,,-0.1507630468,,0.269468145
heldout,aileron,0.6,peak_p_rad_s,1,1,-1.47448281,0.8242861402,,-0.3250983347,-1.331897199,0.9642424404,,-0.1838273796,,-0.1412709552
heldout,aileron,0.6,p_impulse_rad,1,1,-0.5375037989,0.1757805639,,-0.1808616175,-0.6442240136,0.3883995249,,-0.1279122443,,-0.05294937318
heldout,aileron,0.6,phi_change_deg,1,1,-31.21621182,7.106231839,,-12.05498999,-42.16623094,11.52147455,,-15.32237819,,3.267388205
heldout,aileron,0.6,yaw_coupling_psi_change_deg,1,1,10.5429283,19.11840808,,14.83066819,8.944781109,-0.9718486451,,3.986466232,,10.84420196
heldout,aileron,0.6,response_dy_m,1,1,-0.09899873899,-0.3142839254,,-0.2066413322,0.09472722352,-0.1801669127,,-0.04271984459,,-0.1639214876
heldout,aileron,0.8,peak_p_rad_s,1,1,-1.261596786,-0.3506877991,,-0.8061422923,0.4447528932,1.105001438,,0.7748771656,,-1.581019458
heldout,aileron,0.8,p_impulse_rad,1,1,-0.4949193886,-0.07118896678,,-0.2830541777,0.03941479477,0.4825943351,,0.2610045649,,-0.5440587427
heldout,aileron,0.8,phi_change_deg,1,1,-33.0434936,-4.304539435,,-18.67401652,-4.040063636,16.93669289,,6.448314626,,-25.12233114
heldout,aileron,0.8,yaw_coupling_psi_change_deg,1,1,9.95291179,4.217489604,,7.085200697,25.38852982,-10.60789965,,7.390315088,,-0.305114391
heldout,aileron,0.8,response_dy_m,1,1,0.1277673893,-0.04374883397,,0.04200927764,-0.01060430901,-0.02152545107,,-0.01606488004,,0.05807415768
heldout,aileron,1,peak_p_rad_s,1,1,-1.431688354,0.4757241443,,-0.4779821049,-1.901870582,0.9204101061,,-0.490730238,,0.01274813313
heldout,aileron,1,p_impulse_rad,1,1,-0.5741958367,0.08633299142,,-0.2439314226,-0.8237697792,0.4084171858,,-0.2076762967,,-0.03625512594
heldout,aileron,1,phi_change_deg,1,1,-35.67572128,14.90964929,,-10.38303599,-54.15556376,8.580024499,,-22.78776963,,12.40473363
heldout,aileron,1,yaw_coupling_psi_change_deg,1,1,1.808413735,7.13730692,,4.472860328,8.126997047,-18.1324767,,-5.002739828,,9.475600155
heldout,aileron,1,response_dy_m,1,1,0.2192356657,-0.3823853193,,-0.08157482682,0.02007342258,0.01537977482,,0.0177265987,,-0.09930142552
